# Transit time pdf
###################
# *** number of boundary hits 334402
# *** number of transit msds greater than max bin transit msd 51
# version = 1.009
# time for empty site = 0
# number of threads = 32
# cpu time = 4046.74 minutes
# start time = Sat Nov  8 01:00:04 2014
# stop time = Sat Nov  8 03:56:11 2014
# Walk on clusters
# Time function:
# A = 1
# gamma_prime = 0
# n_perc_samples = 20
# n_walks_per_sample = 200
# number_of_cluster_entries_per_walk = 1064.74
### Walk2D
# Lx = 10000
# Ly = 10000
# Number of walks = 128000
# number of steps per walk = 5000000
# Total number of boundary hits = 334402
# Total number of steps = 640000000000
# Walk rng name  = mt19937_64
# Clusters
# Number of clusters 2761062
#### Histogram
# Ncounts 4189571225
# Min data 1
# Max data 4.99663e+06
# Min bin 0.1
# Max bin 2.14094e+07
# Nbins 100
# n greater than max 0
# n less than min 0
# Log spacing = true
#
# center pdf counts
#
0.041325561733169 0.221721917109193 9.16877435373865
0.291244494760825 -0.41923691753058 8.77773485194902
0.457856171211827 -0.793962503638787 8.56962083707409
0.624467740253567 -1.15788961185546 8.37230614461664
0.707773650740787 -1.36500007732191 8.24850047907203
0.791079821925889 -1.57339278154253 8.12341386054008
0.874386134810759 -1.488924509543 8.29118896732887
0.957692030856914 -1.99360670282015 7.8698123470156
1.04099769242349 -1.73382476996872 8.21290107276326
1.12430529066498 -2.13645707378432 7.8935742483581
1.20761013453474 -2.16130451302267 7.95203309569162
1.29091566892365 -2.26060251603056 7.93604149215457
1.37422210952702 -2.39729989627815 7.88264974242957
1.45752917299824 -2.62012184509078 7.74313410219959
1.54083481459446 -2.6966008871644 7.74996035990379
1.62414074660296 -2.86817931062085 7.66168966532084
1.70744668265955 -3.00044277170758 7.61273089074834
1.79075228960552 -3.18517860888151 7.51130168515623
1.87405891402695 -3.28068943366715 7.49909570982972
1.95736493388601 -3.46139233826204 7.40170030730204
2.04066957540284 -3.60218334847837 7.3442153756565
2.12397570738184 -3.74607831915496 7.28362682748069
2.20728151126785 -3.90732496213912 7.20568333989401
2.29058881824412 -4.06683475610598 7.12948042669856
2.37389541222909 -4.20960926667193 7.07001199297429
2.45720041279377 -4.37080556248673 6.99212298626663
2.54050716125068 -4.52354662441953 6.92268705989002
2.62381350656328 -4.6847036484208 6.84483614353272
2.70711946822778 -4.83490412524578 6.77794273898559
2.79042521373778 -4.98931426945648 6.70683636522841
2.87373144651152 -5.14839741057338 6.63106105599523
2.95703711091621 -5.30148015797159 6.56128389215128
3.04034516798071 -5.45686482872159 6.48920589391485
3.12364914069735 -5.61125955547539 6.41811725734227
3.20695533583465 -5.76808207399378 6.34460052788643
3.29026172139099 -5.92268297738473 6.27330690780783
3.37356663153344 -6.07702244419985 6.20227302365443
3.45687292027334 -6.23188455026382 6.13071642241191
3.54017926052227 -6.38626914344395 6.05963913832372
3.62348601976291 -6.53885427440219 5.99035839315914
3.70679200707397 -6.69421455307406 5.91830456904315
3.790097891357 -6.84771777248371 5.84810656239295
3.87340373189211 -7.00071152260715 5.77841970614926
3.95670999993763 -7.15493174119987 5.70750545288192
4.04001655740928 -7.30683254347975 5.6389103682908
4.12332232826704 -7.46088750232804 5.56816181409168
4.20662891524433 -7.61367050478259 5.49868540181208
4.28993437799317 -7.76381807828403 5.43184283226115
4.37323944059507 -7.92123877499444 5.35772907982348
4.45654669849444 -8.07312838652503 5.28914506765569
4.53985236498204 -8.2258956274787 5.21968405154238
4.62315828582945 -8.37678379996608 5.15210174117741
4.70646429882578 -8.53046957445608 5.0817216623852
4.7897703220913 -8.68208284643324 5.0134144947031
4.87307635150781 -8.8358048276841 4.94299959336604
4.95638264239306 -8.98695200388477 4.87515969231941
5.03968769800511 -9.13713725974563 4.80827850958277
5.12299526972076 -9.28998931681013 4.73873300539033
5.20629954838414 -9.43406485915026 4.67796263654206
5.28960678767871 -9.58694679735821 4.60838695149969
5.37291200297011 -9.73474574157939 4.54389429180469
5.456218712464 -9.88981784236046 4.47212721717985
5.53952522320061 -10.0350995393603 4.41015274982207
5.62283030438962 -10.1832239520382 4.3453345148399
5.70613719748307 -10.3389553413724 4.27290861269025
5.7894432108153 -10.4893437495905 4.20582665935934
5.87274872415105 -10.6393838689218 4.13909160752382
5.9560550379105 -10.7864902117829 4.0752914188833
6.03936255603977 -10.9324604928406 4.01262635095405
6.12266796468756 -11.0753599857576 3.95303445725036
6.20597263433861 -11.2283801870614 3.88332067838298
6.28927895007484 -11.3659602675812 3.82904633685318
6.37258615990225 -11.5108602834338 3.76745271809777
6.45589199871934 -11.6463683934613 3.71525102887885
6.53919783480672 -11.7791573723473 3.66576855071938
6.62250311088315 -11.9081994338871 3.6200318951263
6.7058098495889 -12.4203650032311 3.19117145572856
